Country,Year,PM25 concentration,PM25 lower bound,PM25 upper bound,SDI mean value
Germany,2019,10.73,10.56,10.93,0.899703158084962
Japan,2019,10.84,10.02,11.55,0.867148183486851
Brazil,2019,10.94,9.37,13.01,0.645298005000543
Kenya,2019,12.52,7.8,17.78,0.508004210679317
Romania,2019,13.3,12.55,14.1,0.760283970607593
Italy,2019,14.22,13.99,14.44,0.801530020572533
Mexico,2019,17.83,16.33,19.65,0.655095338007006
Indonesia,2019,19.34,16.76,23.72,0.64686545689526
South Africa,2019,19.75,18.26,21.8,0.674041036954557
Chile,2019,20.49,19.31,21.89,0.765120322816907
Ethiopia,2019,21.8,13.02,32.47,0.346422663706934
Republic of Korea,2019,24.04,23.39,24.75,0.88073150966869
China,2019,38.15,36.69,39.42,0.703686823937232
Bangladesh,2019,45.99,41.65,51.0,0.473264997623618
India,2019,50.17,47.87,52.43,0.560809926886154
Nigeria,2019,55.64,37.64,76.88,0.488787361344695
Saudi Arabia,2019,57.16,40.09,76.04,0.806087840988648
Canada,2019,6.39,6.21,6.59,0.870554479228955
Afghanistan,2019,62.49,45.04,86.46,0.322454046974177
Egypt,2019,63.16,40.38,92.33,0.587736876524439
United States of America,2019,7.18,7.07,7.28,0.858578064552935
Fiji,2019,7.36,3.69,11.78,0.667060979290814
Russian Federation,2019,8.88,7.31,10.85,0.803658201264112
Australia,2019,8.93,8.61,9.27,0.839317426059217
Spain,2019,9.34,9.14,9.56,0.763942918439527
Spain,2018,10.08,9.88,10.3,0.760659574783565
Japan,2018,10.87,10.13,11.65,0.864237136659234
Brazil,2018,11.15,9.64,13.06,0.640802974287966
Germany,2018,11.7,11.51,11.9,0.896975545420426
Kenya,2018,12.58,7.84,17.89,0.499101274473837
Romania,2018,15.6,14.8,16.43,0.755533333480467
Italy,2018,15.97,15.75,16.19,0.798362690372083
Indonesia,2018,18.47,15.58,22.9,0.640948750163115
Mexico,2018,18.75,17.55,19.92,0.649053317386265
South Africa,2018,19.52,18.15,21.49,0.670335365040043
Chile,2018,21.47,18.77,24.24,0.758625713610628
Ethiopia,2018,22.23,13.13,33.36,0.338050074820716
Republic of Korea,2018,23.7,22.95,24.46,0.876823316849569
China,2018,40.54,38.86,41.97,0.693717996192013
Bangladesh,2018,50.66,45.61,55.93,0.461717748857041
India,2018,55.48,53.03,58.02,0.551930326455295
Nigeria,2018,56.52,37.92,78.35,0.480844413426724
Saudi Arabia,2018,58.3,41.15,77.33,0.800656984976864
Egypt,2018,62.2,39.96,90.86,0.577442786164725
Canada,2018,7.09,6.9,7.29,0.867905541356997
Australia,2018,7.11,6.71,7.53,0.835354624190932
Fiji,2018,7.52,3.99,12.48,0.661991453647996
Afghanistan,2018,70.25,50.62,97.15,0.314866093354221
United States of America,2018,8.13,8.0,8.25,0.855049193484192
Russian Federation,2018,9.22,7.62,11.25,0.800108144129611
Spain,2017,10.21,9.99,10.44,0.757663276271395
Germany,2017,11.78,11.58,11.98,0.894050472424158
Japan,2017,11.89,10.91,12.73,0.861393308858287
Kenya,2017,12.51,7.8,17.72,0.490296619363422
Brazil,2017,14.86,12.82,17.85,0.636422187733083
Romania,2017,15.32,14.58,15.94,0.751117366992228
Italy,2017,15.73,15.5,15.97,0.795311186445406
Indonesia,2017,18.41,15.35,21.88,0.634895744678987
South Africa,2017,19.38,18.05,21.34,0.666622608224758
