Country,Mean_PM25_2010_2019
Afghanistan,67.013
Albania,19.773
Algeria,22.371000000000002
Andorra,9.943000000000001
Angola,25.109
Antigua and Barbuda,8.498999999999999
Argentina,13.288
Armenia,40.628
Australia,7.478999999999999
Austria,13.524000000000001
Azerbaijan,29.648000000000003
Bahamas,5.306
Bahrain,53.818999999999996
Bangladesh,49.53
Barbados,9.899
Belarus,16.928
Belgium,13.594999999999999
Belize,10.591
Benin,31.851999999999997
Bhutan,28.704
Bolivia (Plurinational State of),26.105
Bosnia and Herzegovina,31.915999999999997
Botswana,13.088
Brazil,13.107
Brunei Darussalam,7.678
Bulgaria,21.074
Burkina Faso,41.332
Burundi,28.067
Cabo Verde,31.206
Cambodia,17.899
Cameroon,56.202
Canada,7.188
Central African Republic,28.012999999999998
Chad,42.565999999999995
Chile,22.628
China,49.782
Colombia,16.663
Comoros,14.187000000000001
Congo,29.580000000000002
Cook Islands,7.522
Costa Rica,17.674
Cote d'Ivoire,41.118
Croatia,18.985
Cuba,13.775
Cyprus,15.663
Czechia,17.917
Democratic People's Republic of Korea,53.340999999999994
Democratic Republic of the Congo,31.871
Denmark,10.821000000000002
Djibouti,20.541
Dominica,8.382000000000001
Dominican Republic,7.6739999999999995
Ecuador,17.266
Egypt,61.553999999999995
El Salvador,26.182
Equatorial Guinea,25.604000000000003
Eritrea,22.526
Estonia,7.087999999999999
Eswatini,14.859
Ethiopia,22.129
Fiji,7.272
Finland,6.003
France,12.372
Gabon,25.749000000000002
Gambia,38.706
Georgia,22.669
Germany,12.849
Ghana,46.719
Greece,16.701
Grenada,10.128
Guatemala,24.822
Guinea,37.827
Guinea-Bissau,34.938
Guyana,11.097
Haiti,9.854
Honduras,22.294999999999998
Hungary,17.441
Iceland,6.298
India,54.54600000000001
Indonesia,19.61
Iran (Islamic Republic of),30.125999999999998
Iraq,38.738
Ireland,8.988
Israel,21.337
Italy,17.298000000000002
Jamaica,15.124
Japan,12.625
Jordan,25.064
Kazakhstan,30.885
Kenya,12.482
Kiribati,7.551
Kuwait,65.13199999999999
Kyrgyzstan,44.673
Lao People's Democratic Republic,21.163999999999998
Latvia,13.821000000000002
Lebanon,23.970999999999997
Lesotho,17.762999999999998
Liberia,35.047
Libya,29.698
Lithuania,11.754
Luxembourg,10.626999999999999
Madagascar,16.294999999999998
Malawi,18.702
Malaysia,21.669999999999998
Maldives,12.867
Mali,39.126999999999995
Malta,14.267000000000001
Marshall Islands,7.151000000000001
Mauritania,41.769999999999996
Mauritius,10.578999999999999
Mexico,21.268
Micronesia (Federated States of),7.579000000000001
Monaco,10.484
Mongolia,47.101
Montenegro,23.608
Morocco,13.378
Mozambique,16.526
Myanmar,27.49
Namibia,11.943999999999999
Nauru,7.4079999999999995
Nepal,39.32899999999999
Netherlands (Kingdom of the),12.803
New Zealand,7.731
Nicaragua,19.433
Niger,50.415
Nigeria,55.2
Niue,6.553
North Macedonia,30.842000000000002
Norway,6.94
Oman,35.818
Pakistan,55.15
Palau,7.685
Panama,13.959999999999999
Papua New Guinea,8.645
Paraguay,14.299000000000001
Peru,29.540999999999997
Philippines,22.659
Poland,23.185
Portugal,8.937999999999999
Qatar,62.363
Republic of Korea,27.127
Republic of Moldova,14.186000000000002
Romania,16.009999999999998
Russian Federation,9.857000000000001
Rwanda,34.93
Saint Kitts and Nevis,8.22
Saint Lucia,9.093
Saint Vincent and the Grenadines,9.534
Samoa,7.623
San Marino,11.426
Sao Tome and Principe,33.167
Saudi Arabia,57.003
Senegal,38.364
Serbia,26.255000000000003
Seychelles,17.148
Sierra Leone,39.524
Singapore,15.416
Slovakia,19.410999999999998
Slovenia,17.808
Solomon Islands,7.6579999999999995
Somalia,14.38
South Africa,19.07
South Sudan,21.593
Spain,10.995000000000001
Sri Lanka,23.948
Sudan,22.158
Suriname,12.211
Sweden,6.531999999999999
Switzerland,10.907
Syrian Arab Republic,24.726999999999997
Tajikistan,63.496
Thailand,24.884
Timor-Leste,20.169
Togo,36.198
Tonga,7.261
Trinidad and Tobago,10.347
Tunisia,26.395999999999997
Turkmenistan,31.612000000000002
Tuvalu,6.8420000000000005
Türkiye,23.063
Uganda,31.619
Ukraine,15.122
United Arab Emirates,43.039
United Kingdom of Great Britain and Northern Ireland,11.244
United Republic of Tanzania,15.419999999999998
United States of America,8.421
Uruguay,9.287
Uzbekistan,48.643
Vanuatu,8.431000000000001
Venezuela (Bolivarian Republic of),19.384
Viet Nam,21.133000000000003
Yemen,40.716
Zambia,17.213
Zimbabwe,13.169
"occupied Palestinian territory, including east Jerusalem",29.945
