measure,country,cause,risk-exposure-impact,metric,year,measure val,upper,lower,pm25 concentration,pm25 lower bound,pm25 upper bound,sdi mean value
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2010,0.2218818996903927,0.2962834743251908,0.128690860136773,47.18,44.59,49.38,0.64152144342547
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2010,793.95747736128,1068.97684548304,455.63253535273,47.18,44.59,49.38,0.64152144342547
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2011,0.2342828485192553,0.3075200072364781,0.1380860946899698,51.92,45.85,59.45,0.651447977618785
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2011,835.9200507335801,1110.78544559223,492.08481457981,51.92,45.85,59.45,0.651447977618785
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2012,0.2497819721932511,0.3214373868974216,0.1514257641156196,53.43,46.71,59.15,0.657144292359298
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2012,883.72366812558,1145.51887368958,548.16082408328,53.43,46.71,59.15,0.657144292359298
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2013,0.2646092540376089,0.3363911285449377,0.1637303713938679,64.93,61.43,67.88,0.66310300729639
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2013,927.72159018696,1208.91387561543,564.49020912259,64.93,61.43,67.88,0.66310300729639
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2014,0.2758530292445255,0.3465532853096356,0.1721816797663795,55.4,52.78,57.5,0.668640847002655
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2014,960.57158746911,1227.91016457099,589.90559440489,55.4,52.78,57.5,0.668640847002655
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2015,0.2806490414820164,0.3508757156889699,0.1764406323553188,51.76,49.64,53.54,0.671940110944872
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2015,975.97648041069,1238.96410059217,614.1226808988899,51.76,49.64,53.54,0.671940110944872
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2016,0.2770379651386179,0.3459467013303451,0.1746100495754474,47.61,45.75,49.35,0.676218437253933
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2016,975.94088165569,1260.84765534434,611.64650127262,47.61,45.75,49.35,0.676218437253933
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2017,0.2673733777962642,0.3329484723932592,0.1707051433916314,46.9,44.96,48.35,0.6846196607825
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2017,945.15709611759,1206.73111405412,601.2870222748201,46.9,44.96,48.35,0.6846196607825
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2018,0.2556812544042144,0.3160487275735201,0.167349091092628,40.54,38.86,41.97,0.693717996192013
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2018,909.88190570534,1175.83290719227,570.9120927417699,40.54,38.86,41.97,0.693717996192013
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Percent,2019,0.2452487705752306,0.3012752034790466,0.16371661063609,38.15,36.69,39.42,0.703686823937232
DALYs (Disability-Adjusted Life Years),China,Stroke,Ambient particulate matter pollution,Rate,2019,884.1626976861,1132.4704482472,582.0145587585,38.15,36.69,39.42,0.703686823937232
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2010,0.0971030212042691,0.1432189432467095,0.0519592784764424,20.59,16.5,24.63,0.585982419406785
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Rate,2010,350.44737893446,522.60983028747,184.35757471501,20.59,16.5,24.63,0.585982419406785
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2011,0.0985463006111673,0.1429633957036591,0.0534530619317523,19.12,15.79,23.06,0.593652984587084
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Rate,2011,354.80531968266,512.5671818757501,186.78941121393,19.12,15.79,23.06,0.593652984587084
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2012,0.1005366538056498,0.1420631048106984,0.0543891104508456,20.27,17.12,24.51,0.601185701344525
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Rate,2012,362.5381764554,525.02744691047,197.46550178395,20.27,17.12,24.51,0.601185701344525
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2013,0.1030427062336928,0.1417625341042527,0.0555402607441857,20.91,17.74,24.49,0.608509904334102
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Rate,2013,371.79704645028,539.35548237662,196.73829696378,20.91,17.74,24.49,0.608509904334102
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2014,0.1057190964798597,0.1452349159672923,0.0564201467482109,18.87,16.06,22.73,0.615499887091834
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Rate,2014,382.54995652264,546.69770613326,202.74780488426,18.87,16.06,22.73,0.615499887091834
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2015,0.1082903988289701,0.1487400313868297,0.0581776109619587,19.34,16.09,23.52,0.622222469472476
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Rate,2015,395.6298344832,573.73165743648,212.65172493314,19.34,16.09,23.52,0.622222469472476
DALYs (Disability-Adjusted Life Years),Indonesia,Stroke,Ambient particulate matter pollution,Percent,2016,0.1116589229082068,0.1488001705396858,0.0610217105361169,20.78,17.4,25.35,0.62866662466714
