Country,COVID_Deaths_Rate,upper,lower,Mean_PM25_2010_2019,Year,SDI_mean_value
Spain,54.13403822289378,56.58406838248469,51.43939336032327,10.995000000000001,2020,0.766506025058573
Belgium,74.19978244527651,76.8294478002986,71.68123236139513,13.594999999999999,2020,0.851346648590241
Samoa,3.247489872903345e-09,3.2474898729033766e-09,3.2474898729033766e-09,7.623,2020,0.590075295612806
Papua New Guinea,21.442570880213434,47.69250870348751,3.794842180590001,8.645,2020,0.415186878578667
Republic of Moldova,68.89802150618611,87.9921900400722,48.23897655933903,14.186000000000002,2020,0.727710540349217
Maldives,17.160479662511193,29.555226792868844,10.761363850575592,12.867,2020,0.647608589281031
Latvia,23.479147934805304,48.79552476464061,12.005673402982865,13.821000000000002,2020,0.827900448409988
Czechia,59.35350757510456,81.78778391333215,40.08980170595547,17.917,2020,0.82662663116323
Zambia,197.65440169719776,223.88734290985343,173.10587575909284,17.213,2020,0.49748556148019
Colombia,90.12894852177097,110.78239207118698,69.20019709962675,16.663,2020,0.650855354021142
Russian Federation,69.45514154818149,79.2855663580338,60.14635827113438,9.857000000000001,2020,0.806011474298182
Denmark,10.170762749184272,10.760423056227523,9.527820483233508,10.821000000000002,2020,0.894368296843327
Lithuania,70.4565126978709,100.56458670283982,41.67468739093098,11.754,2020,0.85275238761541
Tonga,5.315238975991669e-09,5.315238975991625e-09,5.315238975991625e-09,7.261,2020,0.622104455604093
Myanmar,30.09957859558973,60.79263349010643,11.956806994476365,27.49,2020,0.529434702877063
Palau,4.7374836891028586e-08,4.737483689102816e-08,4.737483689102816e-08,7.685,2020,0.75278092905906
Sweden,36.971113576276,40.24831541257159,33.65585199547093,6.531999999999999,2020,0.88506201036603
Solomon Islands,1.972574514752666e-09,1.972574514752663e-09,1.972574514752663e-09,7.6579999999999995,2020,0.426112428669488
Malaysia,1.5940456061545965,2.402269633264769,0.8478579271202702,21.669999999999998,2020,0.738743992650626
Bulgaria,112.08067670131656,153.63554915221258,63.604993413235626,21.074,2020,0.765089710642011
Lao People's Democratic Republic,1.0900005978929419e-10,1.0900005978929468e-10,1.0900005978929468e-10,21.163999999999998,2020,0.484192959345392
Iraq,239.15613090254436,282.1034856700245,200.45619814439536,38.738,2020,0.653300379638783
Costa Rica,41.69029561299895,57.46337303989721,28.477190432763464,17.674,2020,0.696194605172093
France,36.46820608616312,38.59643253887537,34.3264787155521,12.372,2020,0.836049443246129
Liberia,145.60660552151356,176.6345744250469,127.9534883465386,35.047,2020,0.348133889761756
Botswana,69.260645857113,78.98152999475634,61.21979227613313,13.088,2020,0.639275298342726
Jordan,117.38204569936964,151.23318481400057,76.22885253640744,25.064,2020,0.720068239915947
Croatia,45.65949890243776,64.15863913650622,30.47068863952932,18.985,2020,0.795462271729482
Guinea,226.5649027351168,273.34427740091365,189.4245317267116,37.827,2020,0.329877997039031
Djibouti,222.9352425229382,269.4244238987954,171.16806383748954,20.541,2020,0.481879945321652
Finland,5.817382208237205,9.412183230231989,4.031054356921432,6.003,2020,0.857655552665083
Dominican Republic,42.99729584757124,84.49346798051805,18.19956299157341,7.6739999999999995,2020,0.615635625027175
Comoros,66.73734006030452,73.75974088650301,61.75714334313566,14.187000000000001,2020,0.472003132433584
Armenia,127.90075310042276,163.24282811408932,88.67191101758173,40.628,2020,0.69826889937921
Kuwait,75.14096707969537,96.49232560775528,53.695408789762645,65.13199999999999,2020,0.843459812023503
Romania,79.00401338233412,110.39430374256509,49.234974346447615,16.009999999999998,2020,0.764276444363666
Switzerland,36.599730214218695,39.23699306909403,34.45496261518803,10.907,2020,0.932027644512362
Grenada,5.796544329462618e-09,5.796544329462628e-09,5.796544329462628e-09,10.128,2020,0.665086346623039
Mali,226.54435579800676,246.06984902641048,203.9605247831481,39.126999999999995,2020,0.262629218759395
San Marino,72.00009799387647,104.79298641812566,48.2875052558652,11.426,2020,0.886867937194416
Eritrea,33.528677151029555,65.32524054542638,24.952478224792188,22.526,2020,0.400459411382762
Timor-Leste,6.164156655386084e-10,6.164156655386058e-10,6.164156655386058e-10,20.169,2020,0.442349336035765
El Salvador,70.95568307518352,83.28927924776103,58.80983806712084,26.182,2020,0.558919894116032
Afghanistan,400.8533893881371,535.761411518057,302.67596680887107,67.013,2020,0.32983006796412
Sudan,170.99576180954068,209.5973971253382,125.99064212806849,22.158,2020,0.533455421993626
Lebanon,105.20161894244944,122.015272711918,90.5413728300966,23.970999999999997,2020,0.742009720142934
Israel,26.10421553597989,27.4934290906386,24.80041812286288,21.337,2020,0.806351589333701
Brunei Darussalam,4.914595737890273,20.2371179016086,0.6450759985763135,7.678,2020,0.80742409075008
Montenegro,95.03412097288714,119.44402131175534,75.44849701579933,23.608,2020,0.792554392852858
Guyana,110.43354726628895,192.7699313032242,47.74733758273171,11.097,2020,0.642284644781673
Greece,18.634126863822,19.61539849415855,17.738987013389206,16.701,2020,0.789632219998033
South Africa,263.9185531851171,264.07453074157985,263.68434305207046,19.07,2020,0.677166096009468
Argentina,77.02517191260883,79.8299519388447,74.34374666931598,13.288,2020,0.721294302628992
Sri Lanka,2.3453511055985388,2.3453511055985348,2.3453511055985348,23.948,2020,0.697648535082413
Thailand,0.7264460894156749,1.482660804279817,0.1673705833713148,24.884,2020,0.679119989171207
Bhutan,8.194634768808406e-10,8.194634768808457e-10,8.194634768808457e-10,28.704,2020,0.468714478980695
Morocco,141.3745701237679,166.47907210145834,113.19972262919389,13.378,2020,0.555246068582659
Iceland,5.76586802443921,6.782179327457773,4.900753454239647,6.298,2020,0.874323153425611
Sao Tome and Principe,76.32044395108385,83.91230555722409,69.0637001925819,33.167,2020,0.497861408762174
Honduras,175.42995878803978,200.1740871371765,148.2593676379383,22.294999999999998,2020,0.508669245938408
Jamaica,9.730157623813266,9.742823976194677,9.718119243101748,15.124,2020,0.680567176976565
Lesotho,266.3781591202179,293.6283035592152,237.7888280996371,17.762999999999998,2020,0.50674665490739
Mauritania,142.04779629563808,169.0774664516533,108.4222058806563,41.769999999999996,2020,0.491365602592056
Nicaragua,196.1582206160693,228.2234888296354,161.2000066907816,19.433,2020,0.520292670400273
Tuvalu,5.621633409092036e-08,5.6216334090920086e-08,5.6216334090920086e-08,6.8420000000000005,2020,0.571666102458017
Chile,84.14426926864715,87.93820821194178,80.4576480811825,22.628,2020,0.769213676196926
Ethiopia,150.90430725047543,163.14886467252654,140.0308999439354,22.129,2020,0.353216349837522
Mexico,224.20498373376228,268.85870184891405,182.9879622704149,21.268,2020,0.660119061584711
Uruguay,3.354822758251324,3.354822758251341,3.354822758251341,9.287,2020,0.716169766093523
Belarus,115.4563380859017,143.7819849786035,91.10998901575684,16.928,2020,0.782381564892966
Mongolia,0.0642104713649265,0.117307347725367,0.0285834712345152,47.101,2020,0.61462963730677
Eswatini,413.5221595360601,460.52916344619206,378.796376673476,14.859,2020,0.581653071099534
Malawi,104.0765175991519,114.71376872082185,94.6776640752863,18.702,2020,0.377879020413869
Saint Lucia,16.62926666815676,28.810325643395625,7.292479511433556,9.093,2020,0.669720489592338
Republic of Korea,1.464697355796923,2.314974184831345,0.956764042801348,27.127,2020,0.883717569055359
