measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2010,746.98383616161,1253.0920572546502,388.50004874225
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2011,734.95307829225,1182.43954194251,400.93170234508005
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2012,729.53340834909,1157.2411460748199,407.52046402282
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2013,727.70208054144,1175.85270402327,403.00163030374
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2014,726.7227540346,1226.58819031092,388.18948737942003
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2015,732.13685468549,1259.48729071477,363.59063112461
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2016,751.33548665946,1238.59927870409,405.70396568030003
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2017,785.50017992936,1331.4180421301,426.13321971787
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2018,831.0177729040099,1436.78554898639,438.82079113625
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,All causes,Ambient particulate matter pollution,Rate,2019,877.23245473275,1643.60616720766,431.88421892671
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2010,173.63868094339,262.39961450711996,103.1760881298
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2011,178.71982858156,270.5848995359,107.9751901482
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2012,183.71801521903998,273.21308042414,113.01940885795
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2013,191.13277116561,289.05916126463,116.95188721037
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2014,194.05072730359,291.62523067236,118.06570364861001
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2015,193.19311024056,296.70619090358,112.05732185846999
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2016,182.3899190451,270.44412035591,109.60369959724
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2017,166.95203212682,246.62621331553,103.49247137438999
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2018,152.58235740054,230.588657853,92.41267200338
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2019,144.48578877845,229.87775549408,83.15669940278
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2010,156.29477028851,198.03651670154002,113.30652645001
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2011,164.07550061371,207.01226053227,120.88510866636001
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2012,166.10998486143,208.1622956258,123.29484520889999
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2013,169.00330118795,211.61944917692998,126.06397019836
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2014,178.48713550889002,222.565634344,134.86085281683998
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2015,176.36975632538,220.30518245869,132.01768401878
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2016,177.33830746658,223.21523020166,133.44160544761
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2017,157.30860884396,199.23581089360997,117.09481252482
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2018,138.17451289521,177.02918455674998,101.51154857783
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Ischemic heart disease,Ambient particulate matter pollution,Rate,2019,122.86765961272,158.89279531751998,89.67450401422
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Stroke,Ambient particulate matter pollution,Rate,2010,509.26197800180006,766.41832452735,265.41126216946
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Stroke,Ambient particulate matter pollution,Rate,2011,509.35821313176,730.78243710474,266.4064434451
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Stroke,Ambient particulate matter pollution,Rate,2012,512.8923895653,745.77880379954,278.0264502015
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Stroke,Ambient particulate matter pollution,Rate,2013,517.72544447687,750.83009419615,271.07951885478
DALYs (Disability-Adjusted Life Years),Indonesia,Both,Age-standardized,Stroke,Ambient particulate matter pollution,Rate,2014,524.00809286121,749.32388566575,273.25363630481
