measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2010,0.0971030212042691,0.1432189432467095,0.0519592784764424
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2010,350.44737893446,522.60983028747,184.35757471501
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2011,0.0985463006111673,0.1429633957036591,0.0534530619317523
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2011,354.80531968266,512.5671818757501,186.78941121393
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2012,0.1005366538056498,0.1420631048106984,0.0543891104508456
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2012,362.5381764554,525.02744691047,197.46550178395
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2013,0.1030427062336928,0.1417625341042527,0.0555402607441857
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2013,371.79704645028,539.35548237662,196.73829696378
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2014,0.1057190964798597,0.1452349159672923,0.0564201467482109
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2014,382.54995652264,546.69770613326,202.74780488426
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2015,0.1082903988289701,0.1487400313868297,0.0581776109619587
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2015,395.6298344832,573.73165743648,212.65172493313997
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2016,0.1116589229082068,0.1488001705396858,0.0610217105361169
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2016,408.46483798861,566.65475233502,232.54301399001
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2017,0.1159814341743114,0.151457076292859,0.0655817372327922
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2017,427.10093533737,584.5848450182,238.49711520988
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2018,0.1197899258376291,0.1607649470807545,0.0707061848989726
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2018,443.73628641839,624.3393793241299,261.48485497036
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2019,0.1216276668257361,0.1669132609314146,0.0729940780914907
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2019,454.44830005938,640.44432399364,254.76466352039
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Percent,2010,0.0319995044384382,0.0629240108195737,0.0054530813448589
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Rate,2010,95.14628257686,194.16215489200002,17.086116028
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Percent,2011,0.0324796168031325,0.0650240571027786,0.0057292943354836
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Rate,2011,91.59902015281,179.33921558962,16.07766855287
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Percent,2012,0.0337991816829245,0.0666987040720467,0.006343475214121
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Rate,2012,90.70931307136,180.40299221112,16.39353718393
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Percent,2013,0.0353406062651238,0.0688854881955734,0.0065390692041608
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Rate,2013,90.80743848723,176.61417078291,16.107465789789998
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Percent,2014,0.0367890001169438,0.0709505731257218,0.0064291837250721
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Rate,2014,90.04973448349,175.07133719002,16.749734326160002
DALYs (Disability-Adjusted Life Years),Republic of Indonesia,Both,All ages,Respiratory infections and tuberculosis,Ambient particulate matter pollution,Percent,2015,0.0382725775998115,0.0750494984243149,0.0069235874860415
