measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2010,0.2218818996903927,0.2962834743251908,0.128690860136773
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2010,793.95747736128,1068.97684548304,455.63253535273003
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2011,0.2342828485192553,0.3075200072364781,0.1380860946899698
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2011,835.9200507335801,1110.78544559223,492.08481457981003
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2012,0.2497819721932511,0.3214373868974216,0.1514257641156196
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2012,883.72366812558,1145.51887368958,548.16082408328
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2013,0.2646092540376089,0.3363911285449377,0.1637303713938679
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2013,927.72159018696,1208.91387561543,564.49020912259
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2014,0.2758530292445255,0.3465532853096356,0.1721816797663795
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2014,960.57158746911,1227.91016457099,589.90559440489
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2015,0.2806490414820164,0.3508757156889699,0.1764406323553188
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2015,975.97648041069,1238.96410059217,614.1226808988899
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2016,0.2770379651386179,0.3459467013303451,0.1746100495754474
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2016,975.94088165569,1260.84765534434,611.64650127262
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2017,0.2673733777962642,0.3329484723932592,0.1707051433916314
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2017,945.1570961175901,1206.7311140541199,601.2870222748201
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2018,0.2556812544042144,0.3160487275735201,0.167349091092628
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2018,909.8819057053399,1175.83290719227,570.9120927417699
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2019,0.2452487705752306,0.3012752034790466,0.16371661063609
DALYs (Disability-Adjusted Life Years),China,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2019,884.1626976861,1132.4704482472,582.0145587585
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2010,0.0971030212042691,0.1432189432467095,0.0519592784764424
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2010,350.44737893446,522.60983028747,184.35757471501
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2011,0.0985463006111673,0.1429633957036591,0.0534530619317523
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2011,354.80531968266,512.5671818757501,186.78941121393
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2012,0.1005366538056498,0.1420631048106984,0.0543891104508456
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2012,362.5381764554,525.02744691047,197.46550178395
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2013,0.1030427062336928,0.1417625341042527,0.0555402607441857
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2013,371.79704645028,539.35548237662,196.73829696378
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2014,0.1057190964798597,0.1452349159672923,0.0564201467482109
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2014,382.54995652264,546.69770613326,202.74780488426
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2015,0.1082903988289701,0.1487400313868297,0.0581776109619587
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2015,395.6298344832,573.73165743648,212.65172493313997
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2016,0.1116589229082068,0.1488001705396858,0.0610217105361169
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2016,408.46483798861,566.65475233502,232.54301399001
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2017,0.1159814341743114,0.151457076292859,0.0655817372327922
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2017,427.10093533737,584.5848450182,238.49711520988
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2018,0.1197899258376291,0.1607649470807545,0.0707061848989726
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2018,443.73628641839,624.3393793241299,261.48485497036
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2019,0.1216276668257361,0.1669132609314146,0.0729940780914907
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,Stroke,Ambient particulate matter pollution,Rate,2019,454.44830005938,640.44432399364,254.76466352039
DALYs (Disability-Adjusted Life Years),Fiji,Both,All ages,Stroke,Ambient particulate matter pollution,Percent,2010,0.0742820168672007,0.1649629470387453,0.0244333547345253
