measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Spain,Both,Age-standardized,COVID-19,Rate,2020,54.13403822289378,56.58406838248469,51.43939336032327
Deaths,Belgium,Both,Age-standardized,COVID-19,Rate,2020,74.19978244527651,76.8294478002986,71.68123236139513
Deaths,Samoa,Both,Age-standardized,COVID-19,Rate,2020,3.2474898729033456e-09,3.2474898729033766e-09,3.2474898729033766e-09
Deaths,Papua New Guinea,Both,Age-standardized,COVID-19,Rate,2020,21.442570880213434,47.692508703487505,3.794842180590001
Deaths,Republic of Moldova,Both,Age-standardized,COVID-19,Rate,2020,68.89802150618611,87.9921900400722,48.23897655933903
Deaths,Maldives,Both,Age-standardized,COVID-19,Rate,2020,17.160479662511193,29.555226792868844,10.761363850575592
Deaths,Latvia,Both,Age-standardized,COVID-19,Rate,2020,23.479147934805304,48.795524764640604,12.005673402982863
Deaths,Czechia,Both,Age-standardized,COVID-19,Rate,2020,59.35350757510456,81.78778391333215,40.08980170595547
Deaths,Zambia,Both,Age-standardized,COVID-19,Rate,2020,197.65440169719778,223.88734290985343,173.10587575909284
Deaths,Colombia,Both,Age-standardized,COVID-19,Rate,2020,90.12894852177097,110.78239207118698,69.20019709962675
Deaths,Russian Federation,Both,Age-standardized,COVID-19,Rate,2020,69.45514154818149,79.2855663580338,60.14635827113438
Deaths,Denmark,Both,Age-standardized,COVID-19,Rate,2020,10.170762749184272,10.760423056227525,9.527820483233507
Deaths,Lithuania,Both,Age-standardized,COVID-19,Rate,2020,70.4565126978709,100.56458670283982,41.674687390930984
Deaths,Tonga,Both,Age-standardized,COVID-19,Rate,2020,5.315238975991669e-09,5.315238975991625e-09,5.315238975991625e-09
Deaths,Myanmar,Both,Age-standardized,COVID-19,Rate,2020,30.09957859558973,60.79263349010643,11.956806994476363
Deaths,Palau,Both,Age-standardized,COVID-19,Rate,2020,4.7374836891028586e-08,4.7374836891028156e-08,4.7374836891028156e-08
Deaths,Sweden,Both,Age-standardized,COVID-19,Rate,2020,36.971113576276004,40.248315412571586,33.65585199547093
Deaths,Solomon Islands,Both,Age-standardized,COVID-19,Rate,2020,1.972574514752666e-09,1.972574514752663e-09,1.972574514752663e-09
Deaths,Malaysia,Both,Age-standardized,COVID-19,Rate,2020,1.5940456061545965,2.4022696332647695,0.8478579271202702
