Country,Year,PM25 concentration,PM25 lower bound,PM25 upper bound
Germany,2019,10.73,10.56,10.93
Japan,2019,10.84,10.02,11.55
Brazil,2019,10.94,9.37,13.01
Kenya,2019,12.52,7.8,17.78
Romania,2019,13.3,12.55,14.1
Italy,2019,14.22,13.99,14.44
Mexico,2019,17.83,16.33,19.65
Indonesia,2019,19.34,16.76,23.72
South Africa,2019,19.75,18.26,21.8
Chile,2019,20.49,19.31,21.89
Ethiopia,2019,21.8,13.02,32.47
Republic of Korea,2019,24.04,23.39,24.75
China,2019,38.15,36.69,39.42
Bangladesh,2019,45.99,41.65,51.0
India,2019,50.17,47.87,52.43
Nigeria,2019,55.64,37.64,76.88
Saudi Arabia,2019,57.16,40.09,76.04
Canada,2019,6.39,6.21,6.59
Afghanistan,2019,62.49,45.04,86.46
Egypt,2019,63.16,40.38,92.33
United States of America,2019,7.18,7.07,7.28
Fiji,2019,7.36,3.69,11.78
Russian Federation,2019,8.88,7.31,10.85
Australia,2019,8.93,8.61,9.27
Spain,2019,9.34,9.14,9.56
Spain,2018,10.08,9.88,10.3
Japan,2018,10.87,10.13,11.65
Brazil,2018,11.15,9.64,13.06
Germany,2018,11.7,11.51,11.9
Kenya,2018,12.58,7.84,17.89
Romania,2018,15.6,14.8,16.43
Italy,2018,15.97,15.75,16.19
Indonesia,2018,18.47,15.58,22.9
Mexico,2018,18.75,17.55,19.92
South Africa,2018,19.52,18.15,21.49
Chile,2018,21.47,18.77,24.24
Ethiopia,2018,22.23,13.13,33.36
Republic of Korea,2018,23.7,22.95,24.46
China,2018,40.54,38.86,41.97
Bangladesh,2018,50.66,45.61,55.93
India,2018,55.48,53.03,58.02
Nigeria,2018,56.52,37.92,78.35
Saudi Arabia,2018,58.3,41.15,77.33
Egypt,2018,62.2,39.96,90.86
Canada,2018,7.09,6.9,7.29
Australia,2018,7.11,6.71,7.53
Fiji,2018,7.52,3.99,12.48
Afghanistan,2018,70.25,50.62,97.15
United States of America,2018,8.13,8.0,8.25
Russian Federation,2018,9.22,7.62,11.25
Spain,2017,10.21,9.99,10.44
Germany,2017,11.78,11.58,11.98
Japan,2017,11.89,10.91,12.73
Kenya,2017,12.51,7.8,17.72
Brazil,2017,14.86,12.82,17.85
Romania,2017,15.32,14.58,15.94
Italy,2017,15.73,15.5,15.97
Indonesia,2017,18.41,15.35,21.88
