Country,PM2.5,All-cause DALYs,SDI,SDI_category
Afghanistan,67.013,1202.1658510043621,0.2867177899588451,Low
Albania,19.773,1128.832623026047,0.6768199487748945,High
Algeria,22.371000000000002,1919.3274242778868,0.6249002397272848,High
Andorra,9.943000000000001,284.558399916067,0.8524971275845713,Very High
Angola,25.109,1807.0094015540278,0.4069629195877197,Low
Antigua and Barbuda,8.498999999999999,1127.013567600052,0.7271749999814932,High
Argentina,13.288,777.250740293347,0.6918349763545797,High
Armenia,40.628,2486.843823453496,0.6753753582879705,High
Australia,7.478999999999999,155.59445213911698,0.8219911711138783,Very High
Austria,13.524000000000001,431.854586429033,0.8370247776339843,Very High
Azerbaijan,29.648000000000003,3123.9406702173983,0.6728458223567272,High
Bahamas,5.306,1072.3512198081921,0.7883371869209823,Very High
Bahrain,53.818999999999996,3395.843901266568,0.7209236383752691,High
Bangladesh,49.53,901.413640087317,0.42042442279102943,Low
Barbados,9.899,1247.443356337601,0.7305084676662089,High
Belarus,16.928,1788.2850766753309,0.7570710997810244,Very High
Belgium,13.594999999999999,447.145702263654,0.8334440872979956,Very High
Belize,10.591,1351.6873130438191,0.5808527187922986,Medium
Benin,31.851999999999997,1271.904524121208,0.3298424983835801,Low
Bhutan,28.704,2040.96394881466,0.43608555092869217,Low
Bolivia (Plurinational State of),26.105,1383.906896453731,0.5639226740283237,Medium
Bosnia and Herzegovina,31.916000000000004,1661.0668912582648,0.6988053879253637,High
Botswana,13.088,2348.64458792164,0.6117544525305683,High
Brazil,13.107,723.396663557777,0.6244402609332362,High
Brunei Darussalam,7.678,391.900178890557,0.789241221367854,Very High
Bulgaria,21.074,1891.091084136508,0.7471549499177654,High
Burkina Faso,41.332,1216.118907182874,0.2473875397806531,Low
Burundi,28.067,451.571268727181,0.2637215542420797,Low
Cabo Verde,31.206,1757.5495505785632,0.4905330285534365,Medium
Cambodia,17.899,764.311790629006,0.4366310287775714,Low
Cameroon,56.202,1441.968489875454,0.42822102326013256,Low
Canada,7.188,160.940548457324,0.8579675229109662,Very High
Central African Republic,28.012999999999998,970.941397880966,0.2913617878637404,Low
Chad,42.565999999999995,1569.96887681195,0.20873631615149352,Low
Chile,22.628,781.069960652439,0.7330245245164191,High
China,49.782,2302.819838697964,0.6712040596813148,High
Colombia,16.663,770.79264993725,0.6170273390798271,High
Comoros,14.187000000000001,299.651127990075,0.44158403132202223,Low
Congo,29.580000000000002,1701.671151875252,0.5420957446676729,Medium
Cook Islands,7.522,355.082006698129,0.7422156431823775,High
Costa Rica,17.674,628.3937135672979,0.6607633937646403,High
Croatia,18.985,1066.824529923059,0.7761725945408859,Very High
Cuba,13.775,1027.606116112943,0.639251739356409,High
Cyprus,15.663,733.015091472414,0.8213590073110048,Very High
Czechia,17.917,959.4288964016339,0.816647948081281,Very High
Côte d'Ivoire,41.118,1793.35689952918,0.3828877814807814,Low
